balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,20626.5,720.0,-0.0,0.5,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.223350227705474,0.0,120,-16.519080001394656,0.0,120,-15.484651630832433,0.0,120,-58.054667915247876,0.0,120,-53.0286858584033,0.0,120,-10.912002601509458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19826.5,720.0,-0.0,0.4806074709718081,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.762806573018559,0.0,120,-46.53779791857247,0.0,120,-42.10357738817605,0.0,120,-6.0196564265858115,0.0,120,-31.305272628139768,0.0,120,-14.298108086458827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,19026.5,720.0,-0.0,0.46121494194361623,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.075372469720005,0.0,120,-54.636211061681315,0.0,120,-28.823136649259684,0.0,120,-22.52021681291029,0.0,120,-17.90007479892312,0.0,120,-13.781238218063583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,18226.5,720.0,-0.0,0.44182241291542435,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.6271736898817775,0.0,120,-23.342973979869104,0.0,120,-27.007027773482818,0.0,120,-43.87068575730192,0.0,120,-55.23517700385448,0.0,120,-7.300743331633328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,17426.5,720.0,-0.0,0.42242988388723246,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.875427620024002,0.0,120,-43.3304585615469,0.0,120,-30.926309173475268,0.0,120,-7.939257927749437,0.0,120,-13.777576350103324,0.0,120,-7.174852825674682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,16626.5,720.0,-0.0,0.4030373548590406,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.753314498185773,0.0,120,-58.94535941878477,0.0,120,-17.978783980590578,0.0,120,-45.54580331369608,0.0,120,-40.637768697437096,0.0,120,-32.72632394499334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15826.5,720.0,-0.0,0.3836448258308487,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.890131192610816,0.0,120,-32.61943402002035,0.0,120,-0.2722245016963032,0.0,120,-17.820014824395454,0.0,120,-26.781070379626573,0.0,120,-49.76596259715338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,15026.5,720.0,-0.0,0.36425229680265675,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.9730122475414267,0.0,120,-59.29551625711534,0.0,120,-43.84331558510763,0.0,120,-30.3902662240509,0.0,120,-31.645248305386126,0.0,120,-35.07573212201022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,14226.5,720.0,-0.0,0.34485976777446486,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.026808929435006,0.0,120,-12.478892936538521,0.0,120,-23.388920323149136,0.0,120,-47.620578510006524,0.0,120,-29.127227896994633,0.0,120,-23.30371006006796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,13426.5,720.0,-0.0,0.325467238746273,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.554078394291114,0.0,120,-43.950486832895194,0.0,120,-43.182886318087405,0.0,120,-38.00076683360779,0.0,120,-4.230238700014568,0.0,120,-35.76793874180401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,12626.5,720.0,-0.0,0.3060747097180811,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.32829216046188,0.0,120,-29.800197615453676,0.0,120,-33.905409794465236,0.0,120,-59.43507142981535,0.0,120,-3.151455562896792,0.0,120,-35.054392304566825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11826.5,720.0,-0.0,0.2866821806898892,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.38161449486688,0.0,120,-0.0028878881855942673,0.0,120,-6.6577531782929,0.0,120,-28.46476911442428,0.0,120,-43.32490899974615,0.0,120,-19.248371787523453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,11026.5,720.0,-0.0,0.2672896516616973,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.980144574232082,0.0,120,-53.81251602666583,0.0,120,-2.6764645950817645,0.0,120,-25.506477915434942,0.0,120,-28.879383863929952,0.0,120,-54.746461067642926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10226.5,720.0,-0.0,0.24789712263350544,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.35870429557145,0.0,120,-13.526170058884597,0.0,120,-53.16307545656935,0.0,120,-8.018509929545433,0.0,120,-44.34759090948137,0.0,120,-34.69271535255148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9426.5,720.0,-0.0,0.22850459360531356,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.729976873521416,0.0,120,-16.946632638108166,0.0,120,-10.87113206423088,0.0,120,-13.764572378462516,0.0,120,-0.010476427141377087,0.0,120,-48.17831902826868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8626.5,720.0,-0.0,0.20911206457712167,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.06933643561924,0.0,120,-47.79257448983897,0.0,120,-32.08959700391254,0.0,120,-2.06983173784852,0.0,120,-26.671731715923933,0.0,120,-19.669354831583806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7826.5,720.0,-0.0,0.18971953554892979,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.9771938144209935,0.0,120,-21.098705322677677,0.0,120,-25.183243413817525,0.0,120,-35.481426448084385,0.0,120,-32.818469049864426,0.0,120,-12.879502953569233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7026.5,720.0,-0.0,0.17032700652073787,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.561988768612025,0.0,120,-6.273078711673941,0.0,120,-43.597636453336165,0.0,120,-4.681582103773101,0.0,120,-10.800124523994146,0.0,120,-11.378053795339689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6226.5,720.0,-0.0,0.150934477492546,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-19.744585780952747,0.0,120,-57.90887987924437,0.0,120,-54.02984318831783,0.0,120,-54.54625852506234,0.0,120,-25.640707948797825,0.0,120,-36.35742453494926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5426.5,720.0,-0.0,0.1315419484643541,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.83027720759444,0.0,120,-47.68370331339739,0.0,120,-58.792991826980554,0.0,120,-44.01795294464112,0.0,120,-25.800781448354154,0.0,120,-12.773920844144136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4626.5,720.0,-0.0,0.11214941943616222,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.30307873797176,0.0,120,-8.971971804951428,0.0,120,-3.9421074215804697,0.0,120,-40.63235895586877,0.0,120,-27.28394395041751,0.0,120,-40.26232743869117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3826.5,720.0,-0.0,0.09275689040797033,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.903625520312154,0.0,120,-31.395245080637096,0.0,120,-31.13278659564331,0.0,120,-56.9885591858437,0.0,120,-2.394247241327767,0.0,120,-32.58183738562107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3026.5,720.0,-0.0,0.07336436137977843,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.311817732120408,0.0,120,-34.888180427144995,0.0,120,-53.279467186928535,0.0,120,-0.49913207621429034,0.0,120,-5.939343056124646,0.0,120,-25.65044504285484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2226.5,720.0,-0.0,0.05397183235158655,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.666381269818043,0.0,120,-0.09349192116725025,0.0,120,-28.427404596791398,0.0,120,-36.60080293579647,0.0,120,-15.130282648976083,0.0,120,-35.59646438148466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
