balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.404197494641838,0.0,120,-17.521763794531324,0.0,120,-32.38926349820967,0.0,120,-51.25606396138197,0.0,120,-34.841070039163334,0.0,120,-24.68017900978946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,780.0,-0.0,0.4656603724991093,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.445322395458774,0.0,120,-34.04145031956668,0.0,120,-22.38302449724197,0.0,120,-57.68593658657899,0.0,180,-41.869279729008284,0.0,120,-17.82397945271206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,9981.683333333334,780.0,-0.0,0.4284591093731444,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.25539329504532,0.0,120,-9.87596876083036,0.0,120,-59.795271192433106,0.0,120,-56.69410246199165,0.0,180,-0.6844925034347327,0.0,120,-29.623703091129272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,9115.016666666668,780.0,-0.0,0.3912578462471796,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.119381398626125,0.0,120,-37.89570141840616,0.0,120,-1.748006796874404,0.0,120,-0.9367984456467426,0.0,180,-57.39586980029963,0.0,120,-9.58188939915219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,8248.350000000002,780.0,-0.0,0.3540565831212147,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.89607210378928,0.0,120,-35.42225454940385,0.0,120,-27.60516362754621,0.0,120,-8.934371092889553,0.0,180,-38.65453136353547,0.0,120,-16.78612767049045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,7381.683333333335,780.0,-0.0,0.31685531999524974,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-23.701984627799387,0.0,120,-43.106365216192515,0.0,120,-42.0858815190424,0.0,120,-8.069652233764316,0.0,180,-6.582474939436214,0.0,120,-1.4882155285257093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,6515.016666666668,780.0,-0.0,0.27965405686928485,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.134349455371364,0.0,120,-15.06564665058276,0.0,120,-54.99250615948541,0.0,120,-48.564433293696666,0.0,180,-58.494170737487686,0.0,120,-53.853785529336506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,5648.350000000001,780.0,-0.0,0.2424527937433199,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.873337269220054,0.0,120,-44.166147474118276,0.0,120,-9.440998958061178,0.0,120,-38.17865875347671,0.0,180,-32.66974598785878,0.0,120,-27.37236555655342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,4781.683333333334,780.0,-0.0,0.205251530617355,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.43874943732947,0.0,120,-38.955412279263726,0.0,120,-56.14336075894696,0.0,120,-21.034447395428913,0.0,180,-59.5001418921743,0.0,120,-46.22839595484552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,3915.016666666668,780.0,-0.0,0.1680502674913901,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.68799670324829,0.0,120,-26.179361667133378,0.0,120,-58.74896075860771,0.0,120,-43.16040638577738,0.0,180,-10.234089744731952,0.0,120,-28.428292940968536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,3048.3500000000013,780.0,-0.0,0.1308490043654252,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.8099355665010273,0.0,120,-21.92350639191691,0.0,120,-40.03541243625975,0.0,120,-59.98917589681397,0.0,180,-40.497292858035195,0.0,120,-16.273811532145675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,2181.6833333333348,780.0,-0.0,0.09364774123946029,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-19.59788777635324,0.0,120,-11.231211210172168,0.0,120,-19.64558787399693,0.0,120,-16.370244519500336,0.0,180,-38.0035062092184,0.0,120,-38.78314936556872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,1315.0166666666682,780.0,-0.0,0.056446478113495395,0.43609923383424404,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.554149545266672,0.0,120,-26.861178206035902,0.0,120,-47.755614323792,0.0,120,-15.454096412803171,0.0,180,-53.29589654780816,0.0,120,-28.059057820532484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,448.3500000000016,403.51500000000146,-0.0,0.01924521498753049,0.43609923383424404,164.18482005008474,799.2,0.0,376.48499999999854,1.0,888.0,-334318.6799999987,120,-27.180662047223294,0.0,120,-27.409738560555567,0.0,120,-12.553154178525903,0.0,120,-36.31899766337616,0.0,180,-47.107663023974034,0.0,120,-36.830942686334424,0.0,0.0,0.0,0.0,0.0,-334318.6799999987,-334318.6799999987,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-35.874693300393886,0.0,120,-43.2361426675662,0.0,120,-51.923803320686055,0.0,120,-2.505240666217312,0.0,180,-32.276914977336986,0.0,120,-22.010635671655788,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-17.825259026983346,0.0,120,-52.85234823832848,0.0,120,-31.086864497247323,0.0,120,-53.389361469452425,0.0,180,-45.36605280127048,0.0,120,-42.41477085118334,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-16.90156904480444,0.0,120,-20.5857732115313,0.0,120,-23.0297427160442,0.0,120,-45.23039568070415,0.0,180,-53.4255031307937,0.0,120,-36.694378918477064,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-5.239651224813797,0.0,120,-28.645409671505682,0.0,120,-36.96228996306073,0.0,120,-44.54143616113734,0.0,180,-5.580764098764252,0.0,120,-9.650201900866195,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-42.53011545572711,0.0,120,-54.30269839250638,0.0,120,-37.753707766932074,0.0,120,-8.536607515579576,0.0,180,-23.365202172581967,0.0,120,-55.53705067039654,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-31.947092473578888,0.0,120,-15.938485404245368,0.0,120,-35.48281950572722,0.0,120,-41.37282408255967,0.0,180,-7.795477960623414,0.0,120,-24.20921147891282,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-41.39500513589987,0.0,120,-38.73246930124315,0.0,120,-4.526248342875919,0.0,120,-38.59792314960931,0.0,180,-44.36924975790278,0.0,120,-23.03967999206782,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-44.8259820500373,0.0,120,-5.316090949771821,0.0,120,-52.76362741866712,0.0,120,-1.3867778185173019,0.0,180,-40.79982912207827,0.0,120,-37.89766437827818,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-30.96394271362453,0.0,120,-38.11543787100829,0.0,120,-16.04778313672814,0.0,120,-33.82682344977308,0.0,180,-36.22811729584333,0.0,120,-3.2481428282339952,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43609923383424404,340.15740239071033,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-49.49114180042774,0.0,120,-17.91208226720592,0.0,120,-0.07571557194786749,0.0,120,-0.4668823515942311,0.0,180,-52.77677261412991,0.0,120,-5.337926407615498,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
