balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.669186460201514,0.0,120,-41.12572017733047,0.0,120,-38.86652387370921,0.0,120,-41.54238523243704,0.0,120,-37.966436007782676,0.0,120,-27.5980543693429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.39879771618119,0.0,120,-22.823321737393783,0.0,120,-24.120447420136074,0.0,120,-19.80987286458951,0.0,120,-40.21885061865859,0.0,120,-48.723302487246926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.99843252642673,0.0,120,-36.10617758028066,0.0,120,-57.85485962342305,0.0,120,-31.914277058383206,0.0,120,-28.406023439224477,0.0,120,-33.40631076828918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.768189726856146,0.0,120,-39.836661498509166,0.0,120,-26.149970190119845,0.0,120,-42.16970855046404,0.0,120,-6.633270060852324,0.0,120,-54.494478352508494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.4654212914972296,0.0,120,-13.502266762836605,0.0,120,-40.71953887308361,0.0,120,-51.96262972485568,0.0,120,-8.085406002798244,0.0,120,-45.78731785049304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.72245809394619,0.0,120,-38.834577927390264,0.0,120,-44.10214270844167,0.0,120,-33.9182220448353,0.0,120,-8.769059958507766,0.0,120,-17.711964885833925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.01119206665027,0.0,120,-39.846478779075085,0.0,120,-24.75967278849608,0.0,120,-23.001682063154455,0.0,120,-32.16380358316265,0.0,120,-44.55800974975682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.044778862499042,0.0,120,-16.97475691938761,0.0,120,-20.74118024158136,0.0,120,-38.10938485793618,0.0,120,-59.35815187098169,0.0,120,-8.797217280489232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.714646079722513,0.0,120,-54.26280077492407,0.0,120,-19.631913672253084,0.0,120,-2.3992666816271435,0.0,120,-18.014021835537108,0.0,120,-13.66702912715173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-25.490854954819184,0.0,120,-44.021889679147115,0.0,120,-20.9984230285218,0.0,120,-57.92295604018654,0.0,120,-44.99795773275495,0.0,120,-32.777304206457956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.34709856448284,0.0,120,-7.258881522280065,0.0,120,-25.23264198320505,0.0,120,-31.354598998341984,0.0,120,-57.87887917549654,0.0,120,-35.09501670042948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.67170091338092,0.0,120,-31.733648063666507,0.0,120,-6.57772216579861,0.0,120,-58.54237458195738,0.0,120,-8.140461032390473,0.0,120,-10.273480649977866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-45.19671933893865,0.0,120,-34.388868695487425,0.0,120,-40.71195729207137,0.0,120,-13.963373545155068,0.0,120,-11.843141230639597,0.0,120,-7.075628028648772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.36094485086520944,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.34491567013619,0.0,120,-8.179962044447745,0.0,120,-15.051455347709698,0.0,120,-27.045000001626576,0.0,120,-5.6404743850043975,0.0,120,-0.07064657119719486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.36094485086520944,114.2336311260757,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-3.5088290650350173,0.0,120,-9.37530653848774,0.0,120,-48.863870958345956,0.0,120,-56.06659644798598,0.0,120,-40.64052586973884,0.0,120,-19.141067910247354,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-40.92947478581218,0.0,120,-44.67258864334397,0.0,120,-30.79702203290388,0.0,120,-22.289453309997448,0.0,120,-25.203914659722322,0.0,120,-59.79936318378682,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.8228658138145262,0.0,120,-37.615364779138034,0.0,120,-5.580982797321576,0.0,120,-15.583529207628589,0.0,120,-24.0443566035577,0.0,120,-23.383052560786094,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.56998876926763,0.0,120,-40.40004925660417,0.0,120,-3.36118741649011,0.0,120,-10.525453515384706,0.0,120,-14.983176840682406,0.0,120,-42.930486417350465,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-41.74815535324659,0.0,120,-20.80456376941055,0.0,120,-53.32580901838496,0.0,120,-27.852598164112486,0.0,120,-18.98458649603436,0.0,120,-45.06839907573655,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.19304910410346,0.0,120,-26.563030618796816,0.0,120,-27.765884468298108,0.0,120,-24.566091024842482,0.0,120,-32.57091163975718,0.0,120,-11.16736736596274,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-37.1608087740262,0.0,120,-7.746528716157195,0.0,120,-30.634330341545187,0.0,120,-32.86052655201461,0.0,120,-50.28433878720621,0.0,120,-56.62617760908218,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.79550153310035,0.0,120,-7.340834423688403,0.0,120,-30.609430116346125,0.0,120,-30.06627402497234,0.0,120,-2.1064884520938665,0.0,120,-26.42631549714834,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-0.44731944582734773,0.0,120,-35.50084685644308,0.0,120,-13.76757583113822,0.0,120,-35.78078665930432,0.0,120,-19.200006443813905,0.0,120,-4.160534660852619,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36094485086520944,259.8802926229508,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.554420582608382,0.0,120,-12.167950436240801,0.0,120,-52.17987743025169,0.0,120,-20.85194230054386,0.0,120,-46.93941755205796,0.0,120,-55.6074718777772,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
