balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.091527154273066,0.0,120,-54.07012397772437,0.0,120,-57.72997787773061,0.0,120,-45.57132955910476,0.0,120,-36.24192815624523,0.0,120,-22.774100108538487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.812102091488037,0.0,120,-39.17767316482336,0.0,120,-16.819278779869116,0.0,120,-16.494716693908043,0.0,120,-13.451523643107139,0.0,120,-59.71068866604867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.87702311180104,0.0,120,-46.9366934305026,0.0,120,-33.180424424528574,0.0,120,-53.77661984597155,0.0,120,-54.45677797833464,0.0,120,-41.923771977475695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.596448995825961,0.0,120,-9.351863309317123,0.0,120,-44.896481911582,0.0,120,-49.22348968609537,0.0,120,-24.325968606013134,0.0,120,-0.5227428857536554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.29597233232641,0.0,120,-9.139603968376564,0.0,120,-31.20745429449507,0.0,120,-53.71703640410496,0.0,120,-15.698012039773134,0.0,120,-31.906608343591646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.72863994785767,0.0,120,-28.73026856777436,0.0,120,-48.425364470432186,0.0,120,-51.24768734909604,0.0,120,-53.75724005236508,0.0,120,-28.266352893626937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.34807796589226,0.0,120,-34.95746794717793,0.0,120,-19.179220526934447,0.0,120,-35.754834866907295,0.0,120,-44.102546632069384,0.0,120,-59.88812503460055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-30.231707548358496,0.0,120,-39.98718856605953,0.0,120,-31.019830111031176,0.0,120,-49.80820606571271,0.0,120,-39.088227393822166,0.0,120,-46.48236808311243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.922428468591146,0.0,120,-2.931352254001831,0.0,120,-36.201414566286985,0.0,120,-15.663714907206487,0.0,120,-25.581812512002166,0.0,120,-22.614484241956934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.18772571024823,0.0,120,-44.70610605356723,0.0,120,-36.24665536384123,0.0,120,-47.84328466615829,0.0,120,-27.504056725261044,0.0,120,-46.33225393740887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.24885720006243,0.0,120,-51.83977024896196,0.0,120,-36.32860986591238,0.0,120,-28.979505086327993,0.0,120,-39.875441071845266,0.0,120,-51.01185312365929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.42625087331124,0.0,120,-54.76325083839027,0.0,120,-6.552776020766831,0.0,120,-28.802121072605914,0.0,120,-33.30012697861398,0.0,120,-58.26531783799123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.258958006824209,0.0,120,-58.90811397428742,0.0,120,-51.88294716484813,0.0,120,-58.820873366738184,0.0,120,-5.608360873041358,0.0,120,-57.76129725839931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.08830478938979963,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.17429491518663,0.0,120,-33.629602574302524,0.0,120,-15.41164585449791,0.0,120,-19.055551657274556,0.0,120,-38.48522768148158,0.0,120,-43.52027442535626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.08830478938979963,27.94714127003071,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-12.634040845623725,0.0,120,-58.25805422189452,0.0,120,-58.519232157003145,0.0,120,-58.54913652196808,0.0,120,-2.425928627355951,0.0,120,-40.05516338139876,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.942206553586104,0.0,120,-49.63403873163954,0.0,120,-58.83448086633912,0.0,120,-51.48239484080388,0.0,120,-54.991521042490724,0.0,120,-11.275568599320431,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-57.24634087045674,0.0,120,-32.68241731420991,0.0,120,-47.5090871451279,0.0,120,-38.74593505895588,0.0,120,-15.674737301075584,0.0,120,-45.34703535881293,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-54.749705835455906,0.0,120,-56.212407107068344,0.0,120,-27.32135961428993,0.0,120,-19.060487312600046,0.0,120,-37.73521915075905,0.0,120,-13.317733244987087,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.70006130404653,0.0,120,-13.800827776079768,0.0,120,-0.21912142143738045,0.0,120,-15.73263530857927,0.0,120,-50.79222684601891,0.0,120,-53.010274384593835,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.12999680724503,0.0,120,-46.223259594164006,0.0,120,-55.550963663039454,0.0,120,-50.11286204964788,0.0,120,-46.15330293783438,0.0,120,-25.194584029181414,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-39.6391717927667,0.0,120,-35.08739273541145,0.0,120,-52.435943899428274,0.0,120,-55.38983653630867,0.0,120,-44.89552971162249,0.0,120,-23.207307254224098,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-16.569493978963614,0.0,120,-39.27365606812995,0.0,120,-0.864466123944374,0.0,120,-26.36029029003903,0.0,120,-42.44200830268863,0.0,120,-42.40980426811376,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-24.0744008155649,0.0,120,-43.11038958567965,0.0,120,-27.577141482763192,0.0,120,-59.8256584728671,0.0,120,-11.49935666165481,0.0,120,-35.99068357595616,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.08830478938979963,63.57944836065573,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.628068975984846,0.0,120,-22.185762778503783,0.0,120,-53.08839518986757,0.0,120,-14.923375791841021,0.0,120,-4.82785136228663,0.0,120,-31.38589511482216,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
