balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.11346198620944,0.0,120,-1.7684428071112035,0.0,120,-10.285304095831595,0.0,120,-6.484412815967275,0.0,120,-12.913784735858558,0.0,120,-20.233248043266883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.397057686081894,0.0,120,-30.13605683056481,0.0,120,-56.58599231437616,0.0,120,-3.811579773946745,0.0,120,-7.446919809503543,0.0,120,-53.443678496763745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.97032799171701,0.0,120,-37.9391506781903,0.0,120,-56.433151680975065,0.0,120,-3.8948398295734954,0.0,120,-57.145191232548136,0.0,120,-0.20402003615519249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.359170236303186,0.0,120,-28.995570067561573,0.0,120,-38.642238411848325,0.0,120,-1.4137159270809962,0.0,120,-45.37957997927539,0.0,120,-32.57059633209246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.2256027294531124,0.0,120,-14.426659662711298,0.0,120,-9.989846919605432,0.0,120,-10.043170687438343,0.0,120,-5.178530824372953,0.0,120,-17.48539677966501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.07370307273083,0.0,120,-38.03715477058255,0.0,120,-0.3378607440436232,0.0,120,-39.96762582069102,0.0,120,-38.966552606238615,0.0,120,-42.422144958567515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.72305130421146,0.0,120,-15.77748893883983,0.0,120,-0.1034381772839521,0.0,120,-38.16071375175375,0.0,120,-47.12455834378483,0.0,120,-53.11414299742274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.193363330095435,0.0,120,-16.214615197948557,0.0,120,-3.4276458533314846,0.0,120,-41.45337491416868,0.0,120,-41.064881025190104,0.0,120,-59.0730293523672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.915931676762423,0.0,120,-3.00547899827063,0.0,120,-35.01308635561193,0.0,120,-25.121734317498852,0.0,120,-16.856722253225357,0.0,120,-58.38091848538292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.92124843718511,0.0,120,-54.94967617291972,0.0,120,-47.59892757638529,0.0,120,-17.952563749192596,0.0,120,-16.308806382917588,0.0,120,-36.87613297966794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.06188664791728,0.0,120,-44.31933090907046,0.0,120,-25.474520215318368,0.0,120,-33.90486318412647,0.0,120,-12.78922071639543,0.0,120,-39.130079871463806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.471791217052271,0.0,120,-18.773936550193667,0.0,120,-11.068366789750492,0.0,120,-46.693750410858264,0.0,120,-30.826155956460195,0.0,120,-31.69103180693122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-26.813955671097542,0.0,120,-30.060143827338027,0.0,120,-45.033322053516684,0.0,120,-49.832302443805126,0.0,120,-40.41234432129197,0.0,120,-59.456893106786346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.47997237932604736,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.14814128461724,0.0,120,-4.482972795980715,0.0,120,-16.31784744552377,0.0,120,-53.763197281854595,0.0,120,-16.371671275234952,0.0,120,-31.61818474771693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.47997237932604736,151.90405847100394,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-28.074527524474615,0.0,120,-22.226109083008062,0.0,120,-12.902899843483397,0.0,120,-18.62492500090707,0.0,120,-33.52126686275126,0.0,120,-52.681989217529726,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-12.80683317610661,0.0,120,-58.446502407282864,0.0,120,-8.879866171164242,0.0,120,-47.85249987329993,0.0,120,-47.39600413388044,0.0,120,-26.022651223880725,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-42.37746433288216,0.0,120,-43.601400153302855,0.0,120,-0.11866960008038996,0.0,120,-50.463345396132574,0.0,120,-54.80422530951257,0.0,120,-27.701567345578283,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-46.04493282052041,0.0,120,-21.71346765222092,0.0,120,-55.61998667842567,0.0,120,-33.247399987573395,0.0,120,-23.290519548931808,0.0,120,-15.317044309540908,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.17931490157016,0.0,120,-28.947105097777563,0.0,120,-37.940861907194865,0.0,120,-21.644543752873656,0.0,120,-34.875116136473906,0.0,120,-53.25619672245422,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.28308931840346,0.0,120,-1.8914261261422638,0.0,120,-36.48142761168467,0.0,120,-47.19596771825253,0.0,120,-27.55332732393629,0.0,120,-12.65414027462085,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-53.102955847672405,0.0,120,-20.149972292416212,0.0,120,-59.669946929382185,0.0,120,-49.39868549010289,0.0,120,-7.689072720543519,0.0,120,-59.78568753432561,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-5.159947126697675,0.0,120,-49.11256808865933,0.0,120,-33.808937637918,0.0,120,-6.338140625859998,0.0,120,-16.392792802762326,0.0,120,-29.854521460459054,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.835475565158212,0.0,120,-38.765068482628266,0.0,120,-1.3836314877962752,0.0,120,-16.542354630864825,0.0,120,-1.89632953481911,0.0,120,-28.01653529411955,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.47997237932604736,345.5801131147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-42.113105172880076,0.0,120,-34.494359134085194,0.0,120,-58.970641786659456,0.0,120,-13.377503416297486,0.0,120,-12.58593166897646,0.0,120,-5.1895460690376165,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
