balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.409298621380245,0.0,120,-40.20902450183556,0.0,120,-43.29652357341328,0.0,120,-18.795161975005684,0.0,120,-44.96888000716462,0.0,120,-40.82853167128104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.50369832159319,0.0,120,-56.47256475091739,0.0,120,-7.143947821811942,0.0,120,-9.796774402746887,0.0,120,-26.5763832050357,0.0,120,-55.752531257868874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.087432023054664,0.0,120,-47.08146958983018,0.0,120,-27.360770151811757,0.0,120,-48.788799126040765,0.0,120,-30.55553278172691,0.0,120,-43.44636715014592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.60471245139289,0.0,120,-54.84742731325866,0.0,120,-19.687781788038954,0.0,120,-26.904673529611404,0.0,120,-57.19805636164727,0.0,120,-36.7397803414077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.303672371672135,0.0,120,-26.586395315454062,0.0,120,-1.6153558273012125,0.0,120,-42.00717775831985,0.0,120,-27.711835355872047,0.0,120,-5.6660902112248195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.351864510853979,0.0,120,-39.280920649505724,0.0,120,-37.97630125399581,0.0,120,-15.768603848365485,0.0,120,-57.461426409032725,0.0,120,-45.0276581381427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.902783663235853,0.0,120,-15.319826197121596,0.0,120,-24.91119575490004,0.0,120,-57.47681252768517,0.0,120,-8.70248464721131,0.0,120,-37.24796260557613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.56890753566019,0.0,120,-0.2223820513518171,0.0,120,-57.79928902385209,0.0,120,-20.63460615753934,0.0,120,-44.044576176990766,0.0,120,-1.8738311462592971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-21.539245725112483,0.0,120,-6.238325498483999,0.0,120,-8.018993206395864,0.0,120,-50.470136839595064,0.0,120,-4.347657929671658,0.0,120,-21.255627695387084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.708061360206974,0.0,120,-45.56203336340745,0.0,120,-47.444887764029986,0.0,120,-26.730066398377815,0.0,120,-13.892578308712553,0.0,120,-35.18388676262343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.2211446551070213,0.0,120,-45.351265994719824,0.0,120,-19.506812204019223,0.0,120,-41.014427227676975,0.0,120,-9.519349267257473,0.0,120,-12.890014053842936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.39501624770252,0.0,120,-19.585532751385248,0.0,120,-18.731412858707202,0.0,120,-13.062724631595422,0.0,120,-31.815116291929506,0.0,120,-53.26393041495346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.047671775450379,0.0,120,-18.29277902385217,0.0,120,-31.10653842694663,0.0,120,-47.94961466862639,0.0,120,-36.19725179572402,0.0,120,-20.678250408178734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.09566794398907105,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.38937855245476,0.0,120,-1.7355447958747217,0.0,120,-23.291485801734694,0.0,120,-19.559908941371067,0.0,120,-20.012782347749017,0.0,120,-23.623244432525105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.09566794398907105,30.27746925338112,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-15.86116105909013,0.0,120,-22.191832858330628,0.0,120,-40.83380291375416,0.0,120,-24.812427621923923,0.0,120,-20.531560120604862,0.0,120,-24.890319314616605,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,68.88091967213116,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.406785678520313,0.0,120,-44.46224093728665,0.0,120,-32.022618482586736,0.0,120,-11.063306511240423,0.0,120,-2.9570215718952175,0.0,120,-13.277782684615115,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,68.88091967213116,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-28.7939227616168,0.0,120,-43.29313255735985,0.0,120,-47.54871585637933,0.0,120,-51.990916035981776,0.0,120,-6.141732751017459,0.0,120,-11.141548329292057,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,68.88091967213116,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-8.215460013455589,0.0,120,-8.194500673215224,0.0,120,-32.46748398567991,0.0,120,-46.085211035952675,0.0,120,-17.908169920431433,0.0,120,-22.75701517891879,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,68.88091967213116,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-48.53782647385605,0.0,120,-52.66923642970211,0.0,120,-30.022796309018236,0.0,120,-48.28802955290042,0.0,120,-31.191687529096917,0.0,120,-24.075469683484478,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,76.82135902322406,799.2,0.0,803.0,1.0,888.0,-713064.0,203,-18.375240280531948,0.0,120,-21.856978310132057,0.0,120,-30.09324550257763,0.0,120,-15.203050475844123,0.0,120,-28.56013392273965,0.0,120,-11.602900456490612,0.0,0.0,0.0,0.0,0.0,-713064.0,-713064.0,803.0,803.0,0.0,0.0,803.0,0.0,0.0,803
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,76.82135902322406,799.2,0.0,803.0,1.0,888.0,-713064.0,203,-6.727057315209231,0.0,120,-36.326404674635555,0.0,120,-38.51574429782126,0.0,120,-2.2945442124676507,0.0,120,-7.727352040231342,0.0,120,-57.47698654691799,0.0,0.0,0.0,0.0,0.0,-713064.0,-713064.0,803.0,803.0,0.0,0.0,803.0,0.0,0.0,803
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,76.82135902322406,799.2,0.0,803.0,1.0,888.0,-713064.0,203,-57.96759705892407,0.0,120,-28.62460859814218,0.0,120,-33.790296320940946,0.0,120,-52.34618083915918,0.0,120,-28.69107122883323,0.0,120,-29.482615885699897,0.0,0.0,0.0,0.0,0.0,-713064.0,-713064.0,803.0,803.0,0.0,0.0,803.0,0.0,0.0,803
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,76.82135902322406,799.2,0.0,803.0,1.0,888.0,-713064.0,203,-2.3679167421238057,0.0,120,-6.570214663890919,0.0,120,-22.874264760067536,0.0,120,-49.432373686152765,0.0,120,-2.690468476934349,0.0,120,-25.797114180887434,0.0,0.0,0.0,0.0,0.0,-713064.0,-713064.0,803.0,803.0,0.0,0.0,803.0,0.0,0.0,803
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09566794398907105,76.82135902322406,799.2,0.0,803.0,1.0,888.0,-713064.0,203,-28.291823808130406,0.0,120,-49.697864482984116,0.0,120,-37.95572455000545,0.0,120,-9.996340589213105,0.0,120,-36.52104949145094,0.0,120,-13.17055225938837,0.0,0.0,0.0,0.0,0.0,-713064.0,-713064.0,803.0,803.0,0.0,0.0,803.0,0.0,0.0,803
