balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.40530214211249,0.0,120,-2.429128766860773,0.0,120,-2.331041816091106,0.0,120,-48.16764981009232,0.0,120,-53.06596586259167,0.0,120,-19.752833656338552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-4.682695078366308,0.0,120,-24.032945444215763,0.0,120,-55.13379872627956,0.0,120,-58.236461008899695,0.0,120,-36.93709753487042,0.0,120,-40.111954910966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-34.96631510067801,0.0,120,-27.863359477621266,0.0,120,-0.390013496199062,0.0,120,-38.20679496026077,0.0,120,-12.731647037863326,0.0,120,-52.100381926214745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.25085182939665,0.0,120,-52.89114149766383,0.0,120,-59.49949903046889,0.0,120,-15.531215046440057,0.0,120,-32.10557924853673,0.0,120,-5.52007483500322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.55236817367287,0.0,120,-20.651474657886453,0.0,120,-52.77398996777804,0.0,120,-49.452468010629794,0.0,120,-14.95386931546015,0.0,120,-38.66409372158533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.565226284298294,0.0,120,-21.96944855412934,0.0,120,-13.120720047550664,0.0,120,-33.993308019634526,0.0,120,-28.821471110574414,0.0,120,-2.7957456684101767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.811196389449716,0.0,120,-41.38290113190078,0.0,120,-23.13266087462633,0.0,120,-42.458648375445144,0.0,120,-9.032191126572274,0.0,120,-30.318691930606988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.547788239903706,0.0,120,-43.14262843385055,0.0,120,-32.90001273053377,0.0,120,-54.352124695092115,0.0,120,-53.55402794891326,0.0,120,-59.78024704666115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.06969102908636,0.0,120,-59.515400662674445,0.0,120,-25.259645041364806,0.0,120,-44.09511908109114,0.0,120,-17.09955769060629,0.0,120,-18.070581044754753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-0.9329773233474881,0.0,120,-21.619635924132595,0.0,120,-16.71786001391107,0.0,120,-7.453866495495054,0.0,120,-40.64526187510201,0.0,120,-9.710006737313478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.592731498265911,0.0,120,-5.770849919229599,0.0,120,-59.23804536364257,0.0,120,-36.360310974437255,0.0,120,-24.31096754703308,0.0,120,-28.324870444712708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.565859071457464,0.0,120,-57.96131130929228,0.0,120,-52.141842759391736,0.0,120,-32.758388777937895,0.0,120,-14.254843525114694,0.0,120,-56.16386849400098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.7659947932032,0.0,120,-55.24023346286069,0.0,120,-10.971757218926392,0.0,120,-2.9887477279045638,0.0,120,-16.678134987717446,0.0,120,-25.602923802159335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.2798248098816029,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-20.853105630159167,0.0,120,-36.59555504209504,0.0,120,-58.17999850475381,0.0,120,-26.800344434144918,0.0,120,-0.9796268235735917,0.0,120,-12.909394222169412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.2798248098816029,88.56035495537901,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-32.228826149001314,0.0,120,-16.563569371551587,0.0,120,-50.80046475633917,0.0,120,-49.26595504355648,0.0,120,-53.076884965931704,0.0,120,-18.845734376911537,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.40249588323043,0.0,120,-2.551498340949645,0.0,120,-35.683681803543024,0.0,120,-22.05560600094718,0.0,120,-39.56233390494509,0.0,120,-57.56515296957205,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.530958229136234,0.0,120,-30.724688956081444,0.0,120,-53.052559384461574,0.0,120,-11.281328779352046,0.0,120,-4.7997509431091,0.0,120,-58.691140020067834,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.558929932775136,0.0,120,-46.522072222991255,0.0,120,-54.92308889544565,0.0,120,-19.84614696253319,0.0,120,-35.30675006507828,0.0,120,-42.088758195546866,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.5302493362867775,0.0,120,-40.739648851325775,0.0,120,-28.437073838498602,0.0,120,-47.73770989535219,0.0,120,-36.47264169041428,0.0,120,-20.408138141755032,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-55.4303548229302,0.0,120,-30.822417879470816,0.0,120,-0.659391740255042,0.0,120,-53.15426249863799,0.0,120,-21.28686557615875,0.0,120,-20.324204133139173,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.644706797404559,0.0,120,-1.2481860812338574,0.0,120,-22.176803703828558,0.0,120,-16.806927504767184,0.0,120,-0.709380466827938,0.0,120,-46.93111012596745,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-30.787366420985908,0.0,120,-12.751516191428209,0.0,120,-51.82888918430669,0.0,120,-11.687343873722716,0.0,120,-23.03119950677141,0.0,120,-22.9280812558496,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.764026257235585,0.0,120,-46.38892582495511,0.0,120,-37.309556517953986,0.0,120,-33.348963304215644,0.0,120,-49.938559624390926,0.0,120,-54.01685189556818,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.2798248098816029,201.4738631147541,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-26.451328590949288,0.0,120,-5.667649776748869,0.0,120,-13.652434250399669,0.0,120,-41.19341856077226,0.0,120,-8.246027552162204,0.0,120,-31.271663890234585,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
