balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.045978419563713,0.0,120,-7.744028594550114,0.0,120,-50.64707064001279,0.0,120,-44.09182134601848,0.0,120,-11.443605707291603,0.0,120,-5.132084492142663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.802539049584468,0.0,120,-5.4286921790390075,0.0,120,-31.15654655209774,0.0,120,-24.691569690851093,0.0,120,-57.738469374959934,0.0,120,-6.156633342318544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.58624982889316,0.0,120,-41.353821066607004,0.0,120,-44.77152123684874,0.0,120,-57.05691576481742,0.0,120,-33.05631532709468,0.0,120,-42.50647113418931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-8.286576693748515,0.0,120,-27.39961611789279,0.0,120,-19.298000257831504,0.0,120,-30.876307279619844,0.0,120,-58.726717316232396,0.0,120,-30.28508410545578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.45632700973869,0.0,120,-54.20806420532418,0.0,120,-43.82047995763406,0.0,120,-38.83257896920523,0.0,120,-20.90353579709435,0.0,120,-47.36914802666814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.260351544178405,0.0,120,-36.099254659600255,0.0,120,-32.49290723083236,0.0,120,-47.53486357344926,0.0,120,-32.575516465643645,0.0,120,-35.67477703544365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.92440298798637,0.0,120,-2.7419186629154635,0.0,120,-14.408049421765865,0.0,120,-38.48871864139632,0.0,120,-59.93319677711981,0.0,120,-55.705715065013045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.575103323574163,0.0,120,-3.2394146001539514,0.0,120,-31.975752836443533,0.0,120,-46.33621164966494,0.0,120,-7.544173365087441,0.0,120,-14.465073849028698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.5785280787795073,0.0,120,-40.94132831293492,0.0,120,-16.85157986600752,0.0,120,-44.72085931295376,0.0,120,-48.60183933084483,0.0,120,-40.666647949343535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.42864128023843,0.0,120,-42.867199423807754,0.0,120,-25.387372283836175,0.0,120,-28.13165287165068,0.0,120,-54.0063369728101,0.0,120,-54.35410403088262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.743992596420602,0.0,120,-58.83434812281878,0.0,120,-49.81525722398298,0.0,120,-17.422778389642687,0.0,120,-46.38137473012769,0.0,120,-13.652751278355415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.61883353185829,0.0,120,-31.720997484944135,0.0,120,-43.734450555391675,0.0,120,-59.025397205113265,0.0,120,-32.32993133873633,0.0,120,-5.714501374143839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.31473951406453,0.0,120,-8.35007127809504,0.0,120,-46.2660721883988,0.0,120,-36.108957016539186,0.0,120,-10.776403183744643,0.0,120,-10.910731397380271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.4512273884335155,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.118591705581254,0.0,120,-54.66604915904421,0.0,120,-12.389109866144317,0.0,120,-38.45876448477595,0.0,120,-7.918778303811759,0.0,120,-14.78494276351779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.4512273884335155,142.80670002838102,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-52.58791220499524,0.0,120,-54.097669820103725,0.0,120,-6.292948458657738,0.0,120,-52.50429865823671,0.0,120,-46.556273614520265,0.0,120,-1.9164024036507699,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-59.81697610321469,0.0,120,-45.092740987091965,0.0,120,-9.141097859935707,0.0,120,-41.91950526746479,0.0,120,-21.732895766069756,0.0,120,-57.52469696893189,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-38.05570326752225,0.0,120,-32.6283614150972,0.0,120,-48.027132300143435,0.0,120,-59.53810814866298,0.0,120,-42.691743680020444,0.0,120,-29.30780572112279,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-47.208423556645236,0.0,120,-49.53639367837648,0.0,120,-48.60421704963351,0.0,120,-38.307468269803714,0.0,120,-51.63657277312351,0.0,120,-32.99634540078977,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-52.05795332429369,0.0,120,-46.73577173775844,0.0,120,-6.633925593192647,0.0,120,-48.10918589162767,0.0,120,-58.81562822026264,0.0,120,-25.505585503850945,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-28.100946092946515,0.0,120,-37.50178476827125,0.0,120,-50.2307559714358,0.0,120,-14.640175990977578,0.0,120,-24.50817735312456,0.0,120,-57.89321863119147,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-16.824643818069255,0.0,120,-12.981533453657443,0.0,120,-21.658823436861717,0.0,120,-12.79914032338161,0.0,120,-19.002605427961416,0.0,120,-6.89930224280479,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-41.818220158270904,0.0,120,-33.757216196205846,0.0,120,-42.33028700984155,0.0,120,-16.669297709323757,0.0,120,-46.06915467044994,0.0,120,-35.05402719345668,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-51.346671292455326,0.0,120,-58.54689622365608,0.0,120,-43.28052534034786,0.0,120,-23.535933872679355,0.0,120,-56.004009835579886,0.0,120,-50.04302705764692,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4512273884335155,324.8837196721312,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-48.01232113453268,0.0,120,-43.498859766073274,0.0,120,-38.862696105414834,0.0,120,-21.873201636595038,0.0,120,-24.174563004139856,0.0,120,-12.78074678150939,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
