balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.658713146753172,0.0,120,-0.34627124655794317,0.0,120,-3.740497944928445,0.0,120,-27.322263579581744,0.0,120,-15.073273104941606,0.0,120,-48.571919377575526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-25.38149031176248,0.0,120,-25.581996591037843,0.0,120,-51.67157186139624,0.0,120,-56.71341127272975,0.0,120,-19.79557113427824,0.0,120,-47.36198074595614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.91449482392001,0.0,120,-56.80452171705051,0.0,120,-22.275532628784443,0.0,120,-47.95071856497505,0.0,120,-38.577762882090155,0.0,120,-4.358992815491631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.935113932095314,0.0,120,-53.011193282147175,0.0,120,-56.49179052197922,0.0,120,-44.59546782723481,0.0,120,-13.591396328585306,0.0,120,-31.54908326583906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.570944630703349,0.0,120,-11.757097784087364,0.0,120,-56.18397902472771,0.0,120,-36.72555017686988,0.0,120,-24.95862235383443,0.0,120,-34.214022178428245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.701399858359217,0.0,120,-35.403329105742934,0.0,120,-30.541285712536016,0.0,120,-34.329685539489496,0.0,120,-45.855992905235986,0.0,120,-45.224988832792434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.702732404255027,0.0,120,-20.979449776304907,0.0,120,-57.077709974064454,0.0,120,-49.238573019272536,0.0,120,-25.56728882858206,0.0,120,-15.696664643023222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.401148138602807,0.0,120,-55.78915822737921,0.0,120,-46.981409230966975,0.0,120,-20.086574541731522,0.0,120,-53.99964708695941,0.0,120,-23.966324354454592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.2151617334806,0.0,120,-8.236777865495474,0.0,120,-19.92751170196265,0.0,120,-56.99801652559802,0.0,120,-6.456109380448501,0.0,120,-35.667011778808074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.96638684126508,0.0,120,-14.19100734350578,0.0,120,-11.3893991974177,0.0,120,-12.3413216349993,0.0,120,-27.40969182019872,0.0,120,-36.96162718382932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.1274247243448,0.0,120,-27.56230322389419,0.0,120,-36.756427811488386,0.0,120,-2.2145816704021803,0.0,120,-32.07721027039917,0.0,120,-21.288785061809506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.751503631605075,0.0,120,-55.70186102339529,0.0,120,-25.113140979923507,0.0,120,-10.000344434213527,0.0,120,-38.33673447021533,0.0,120,-41.804329443214414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.017084944095526,0.0,120,-59.089792505943834,0.0,120,-10.827228445299724,0.0,120,-47.49360275627438,0.0,120,-9.998622966274525,0.0,120,-49.134606980343655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.37853033242258655,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.47623287886672,0.0,120,-45.02302256344106,0.0,120,-51.01862881290798,0.0,120,-47.61335298578162,0.0,120,-57.54553949201378,0.0,120,-30.198236549102116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.37853033242258655,119.79917225676218,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-17.496367869051493,0.0,120,-49.45297935050134,0.0,120,-16.713812172810922,0.0,120,-17.917146278455593,0.0,120,-3.2082049697504456,0.0,120,-21.721419720185594,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.49867958589439,0.0,120,-19.432100965529443,0.0,120,-1.9243544276321645,0.0,120,-3.617829132422261,0.0,120,-4.118880885923611,0.0,120,-17.442654777542856,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-52.794855164977335,0.0,120,-4.391430961181284,0.0,120,-52.13479779743171,0.0,120,-3.4735273963525004,0.0,120,-34.25198390781214,0.0,120,-21.164654024587556,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-30.15483925655838,0.0,120,-50.018225471001664,0.0,120,-20.60582064053082,0.0,120,-33.49545741675985,0.0,120,-27.100940318067657,0.0,120,-43.624732042903794,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.969996579994051,0.0,120,-45.08545809136646,0.0,120,-46.858397019918,0.0,120,-43.955096488374835,0.0,120,-36.086256602796595,0.0,120,-23.897659721843855,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-3.3594944673122917,0.0,120,-22.219435390872313,0.0,120,-8.532621993662541,0.0,120,-5.465574820768142,0.0,120,-13.454363991482332,0.0,120,-29.72469014248549,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-49.75807293477979,0.0,120,-35.061728417889675,0.0,120,-2.6685081428180224,0.0,120,-18.658659012678957,0.0,120,-3.420655633175993,0.0,120,-44.27387836463235,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.182480880528885,0.0,120,-16.639127447450146,0.0,120,-11.729081607799879,0.0,120,-13.318025828065485,0.0,120,-21.742336611579134,0.0,120,-4.518541872808339,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-55.26608166356521,0.0,120,-11.840195924263782,0.0,120,-43.254560601493274,0.0,120,-34.57690651904131,0.0,120,-1.4451075149427894,0.0,120,-20.36172789995009,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.37853033242258655,272.5418393442623,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-36.58396717401854,0.0,120,-29.78951167979965,0.0,120,-22.972553340901555,0.0,120,-38.88132643232043,0.0,120,-53.10916054720621,0.0,120,-11.476778488839262,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
