balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-17.741824456147356,0.0,120,-25.087998601549288,0.0,120,-49.774679610423426,0.0,120,-28.733993546081233,0.0,120,-12.449527269541436,0.0,120,-15.825746403265084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.14915068483648,0.0,120,-2.6442780461159665,0.0,120,-27.412899445459043,0.0,120,-39.98287207019568,0.0,120,-6.208621956729101,0.0,120,-5.409030606980966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.267995313181906,0.0,120,-14.555671674594926,0.0,120,-22.138319304867295,0.0,120,-55.09749660488814,0.0,120,-42.451194421894755,0.0,120,-50.60082331978469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.16517598137767,0.0,120,-22.992350937524925,0.0,120,-21.500669602419848,0.0,120,-0.5767609718973521,0.0,120,-27.971530404439655,0.0,120,-21.50917413128133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.62233134464046,0.0,120,-45.45983823359735,0.0,120,-49.29728171176647,0.0,120,-49.28563103305014,0.0,120,-25.479336959377,0.0,120,-42.03018152945773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.10078054386437,0.0,120,-29.470340628013933,0.0,120,-3.6507861215448445,0.0,120,-49.318539281600565,0.0,120,-22.8334357884602,0.0,120,-49.82973192845815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.8870173611507357,0.0,120,-53.13488500718955,0.0,120,-56.6948102562942,0.0,120,-10.948795891286222,0.0,120,-27.20723460874767,0.0,120,-3.4841670413117787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.49116618764742,0.0,120,-16.173494050132415,0.0,120,-22.77705004325621,0.0,120,-16.806194233044735,0.0,120,-26.237449706437744,0.0,120,-38.92648358980395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.75025822842191,0.0,120,-50.23717549358389,0.0,120,-41.47539489726397,0.0,120,-58.24786493316058,0.0,120,-53.68375126261169,0.0,120,-1.2188624044653862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.68753195974655,0.0,120,-26.920911933118607,0.0,120,-36.330041445260846,0.0,120,-40.83530893269292,0.0,120,-29.01715444913447,0.0,120,-40.08721931347794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,718.0,-0.0,0.15660372499109318,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.002919555405981,0.0,120,-20.457587157583777,0.0,120,-4.393396763308857,0.0,120,-31.885405403995804,0.0,120,-10.402319997428862,0.0,118,-38.19680519018463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,2850.5722222222225,720.0,-0.0,0.12235948534437163,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.941054441909216,0.0,120,-6.674113628388989,0.0,120,-49.84247255808629,0.0,120,-53.742383133393965,0.0,120,-47.951746710988466,0.0,120,-25.25234220430916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2050.5722222222225,720.0,-0.0,0.08801985784348094,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-16.253348100251053,0.0,120,-8.017510750611827,0.0,120,-5.792968825982681,0.0,120,-51.88204277821232,0.0,120,-47.7004515672988,0.0,120,-27.438853768815555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1250.5722222222225,720.0,-0.0,0.05368023034259026,0.1968311407103825,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.932889714178952,0.0,120,-54.82773163158668,0.0,120,-7.723895120679227,0.0,120,-37.80775027648797,0.0,120,-43.424366214064996,0.0,120,-33.707698835016856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,450.57222222222254,405.51500000000027,-0.0,0.019340602841699576,0.1968311407103825,61.900441286304584,799.2,0.0,314.48499999999973,1.0,888.0,-279262.67999999976,120,-22.003688550238113,0.0,120,-8.45451664610791,0.0,120,-40.41625097138007,0.0,120,-33.43629325029889,0.0,120,-57.63383107667548,0.0,120,-52.733744761000985,0.0,0.0,0.0,0.0,0.0,-279262.67999999976,-279262.67999999976,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.150376907106818,0.0,120,-7.857177956419208,0.0,120,-26.219491938600072,0.0,120,-53.79880552077547,0.0,120,-14.630156040436585,0.0,120,-56.71447888033483,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-5.10349407867942,0.0,120,-47.68963489771295,0.0,120,-58.039106679287094,0.0,120,-41.68723058067036,0.0,120,-9.667682622290002,0.0,120,-31.457662806746786,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-8.885647273207379,0.0,120,-6.721807169381746,0.0,120,-3.3694111723002496,0.0,120,-5.666589415403687,0.0,120,-33.55429112855536,0.0,120,-9.316178472685724,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.956969542810356,0.0,120,-46.88573838852232,0.0,120,-2.861819572512414,0.0,120,-30.099205790684607,0.0,120,-57.36252055318735,0.0,120,-40.84611788703593,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.18779320908706,0.0,120,-3.4708616010629,0.0,120,-37.42389707579421,0.0,120,-50.90559558769331,0.0,120,-32.365522550783396,0.0,120,-4.698374792593949,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-32.20610572889983,0.0,120,-6.9198312405492235,0.0,120,-9.447155033858037,0.0,120,-42.83238169226707,0.0,120,-13.209138130986148,0.0,120,-58.78029441155539,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-14.84777466528948,0.0,120,-44.255929610096594,0.0,120,-22.660017449933328,0.0,120,-35.3241285257996,0.0,120,-16.411053290678215,0.0,120,-35.21381765712557,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.679626827338859,0.0,120,-15.19384060855738,0.0,120,-36.600869932574064,0.0,120,-35.00930818726092,0.0,120,-2.921105289764425,0.0,120,-19.02312208395466,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1968311407103825,141.7184213114754,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-44.943102241850646,0.0,120,-50.43264300538817,0.0,120,-31.934299835869012,0.0,120,-37.498554109977306,0.0,120,-40.380708452334595,0.0,120,-31.26347565321518,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
