balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.528056999550905,0.0,120,-28.098281166903256,0.0,120,-46.70067805341374,0.0,120,-47.1920384525152,0.0,120,-47.89373545269655,0.0,120,-32.09184142240146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-3.8190285706761173,0.0,120,-48.33759590619363,0.0,120,-4.105771120252307,0.0,120,-2.1360574385065023,0.0,120,-13.982998289465737,0.0,120,-13.243449846582392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.07236834958868,0.0,120,-47.20349003561964,0.0,120,-46.623376128491586,0.0,120,-5.305354084950135,0.0,120,-21.749948619625236,0.0,120,-43.10094170948045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.35221048333021,0.0,120,-54.699793313197524,0.0,120,-37.44382465588336,0.0,120,-50.492983720834744,0.0,120,-23.61200746002552,0.0,120,-23.37546471348353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.31690403771751,0.0,120,-32.12077166242304,0.0,120,-51.008754003250864,0.0,120,-8.798740034176035,0.0,120,-0.5618294285852321,0.0,120,-9.961684173188246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.229977527359885,0.0,120,-45.38349734045721,0.0,120,-17.891331763852666,0.0,120,-46.14577586062408,0.0,120,-25.81918542952287,0.0,120,-51.62511771375534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.233613981546434,0.0,120,-26.84833906815687,0.0,120,-6.4269030242366725,0.0,120,-16.846473244364713,0.0,120,-8.967231094741582,0.0,120,-16.732395299758863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.159972734725446,0.0,120,-22.194864956468496,0.0,120,-34.607667650130786,0.0,120,-32.114225813535214,0.0,120,-19.032562337528486,0.0,120,-19.20023058180257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.16473412651754,0.0,120,-39.14174469864741,0.0,120,-17.970123170502955,0.0,120,-25.034290877340876,0.0,120,-42.85618267713354,0.0,120,-6.842878410224065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-15.87916378597061,0.0,120,-6.670198524590251,0.0,120,-11.599371988179254,0.0,120,-45.140682285469964,0.0,120,-33.34804029092175,0.0,120,-29.40983236217692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.36162785798961,0.0,120,-57.505271023548254,0.0,120,-3.4119644537892957,0.0,120,-57.0279387189804,0.0,120,-53.47308457789764,0.0,120,-15.844596865568864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.373719667281495,0.0,120,-31.280237847412756,0.0,120,-18.284992689360166,0.0,120,-45.85262337137007,0.0,120,-31.969413967433695,0.0,120,-49.63319739296507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.87158320860845,0.0,120,-34.7727045927426,0.0,120,-12.173586195476897,0.0,120,-7.702043518241921,0.0,120,-5.661578470058943,0.0,120,-30.93332157199771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.102476982805317,0.0,120,-49.54940649925025,0.0,120,-52.67858779707661,0.0,120,-45.25305231116969,0.0,120,-25.481394807368076,0.0,120,-6.024741898627662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.26777274590163935,84.74605748668024,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-9.856880714595786,0.0,120,-13.139726427349093,0.0,120,-6.8863083889372545,0.0,120,-10.90134587764952,0.0,120,-35.437488866620946,0.0,120,-18.705734780376435,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-55.713538281564276,0.0,120,-4.676203019748117,0.0,120,-16.424915202279465,0.0,120,-51.384632166236486,0.0,120,-25.227006785657363,0.0,120,-6.375124904647702,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-49.61381116200654,0.0,120,-2.3418015161987737,0.0,120,-52.92072563020561,0.0,120,-45.22445128503372,0.0,120,-1.405750037041047,0.0,120,-32.733767064199014,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-54.099711471562344,0.0,120,-58.44734831742785,0.0,120,-29.802126863204265,0.0,120,-27.66104019328109,0.0,120,-42.484157391913975,0.0,120,-56.12695703672302,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-7.8729910747395015,0.0,120,-47.09863078989037,0.0,120,-29.0496229970415,0.0,120,-1.6139594080116582,0.0,120,-45.136331793736,0.0,120,-30.109811063967516,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-49.522979721674744,0.0,120,-21.972223726303447,0.0,120,-3.353413271541026,0.0,120,-46.41345315029184,0.0,120,-16.543406222469088,0.0,120,-25.23056635046992,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-25.48851039447596,0.0,120,-0.17242302615400718,0.0,120,-19.25287305811413,0.0,120,-5.569549669934009,0.0,120,-20.846543325482507,0.0,120,-44.15686385003249,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-49.79518118278841,0.0,120,-44.58380957827246,0.0,120,-38.188389903780255,0.0,120,-12.719740078110494,0.0,120,-23.314833320569765,0.0,120,-26.844601569982828,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-36.84736540814574,0.0,120,-20.644962990318433,0.0,120,-44.478573228599785,0.0,120,-22.516853284640483,0.0,120,-25.241257001562374,0.0,120,-46.675021856106554,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-35.11111530749281,0.0,120,-13.12300619460718,0.0,120,-43.26890284392907,0.0,120,-45.18887734984899,0.0,120,-23.364176848274315,0.0,120,-49.80492073911128,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
